epoch,step,train_loss,val_loss
0,9,0.7087899446487427,
0,19,0.7104582786560059,
0,29,0.6522210836410522,
0,39,0.5424980521202087,
0,49,0.42631545662879944,
0,59,0.4558204114437103,
0,69,0.38718676567077637,
0,79,0.43043115735054016,
0,89,0.39302563667297363,
0,99,0.31810706853866577,
0,109,0.37303268909454346,
0,119,0.28828316926956177,
0,129,0.3465281128883362,
0,139,0.3420168161392212,
0,149,0.2778771221637726,
0,159,0.2825201153755188,
0,169,0.31528550386428833,
0,179,0.25772595405578613,
0,189,0.2712815999984741,
0,199,0.2973742187023163,
0,209,0.3575074374675751,
0,219,0.28787893056869507,
0,229,0.3109705448150635,
0,239,0.3018597364425659,
0,249,0.24135425686836243,
0,259,0.28279682993888855,
0,269,0.2740934491157532,
0,279,0.21178385615348816,
0,289,0.22821256518363953,
0,299,0.29646965861320496,
0,309,0.21860802173614502,
0,319,0.2488100528717041,
0,329,0.2735794186592102,
0,339,0.20978116989135742,
0,349,0.25502461194992065,
0,359,0.2315416783094406,
0,369,0.2659955322742462,
0,379,0.20996621251106262,
0,389,0.2704057991504669,
0,399,0.24051856994628906,
0,409,0.2350512444972992,
0,419,0.2487926334142685,
0,429,0.20723393559455872,
0,439,0.22596096992492676,
0,446,,0.23817092180252075
1,449,0.24572892487049103,
1,459,0.19421401619911194,
1,469,0.18634535372257233,
