epoch,step,train_loss,val_loss
0,9,0.7113045454025269,
0,19,0.6878973245620728,
0,29,0.6199939250946045,
0,39,0.5119317770004272,
0,49,0.403357595205307,
0,59,0.363764226436615,
0,69,0.3613411486148834,
0,79,0.3687935769557953,
0,89,0.33932554721832275,
0,99,0.37355101108551025,
0,109,0.33201685547828674,
0,119,0.2807168662548065,
0,129,0.30799493193626404,
0,139,0.3726505637168884,
0,149,0.309770792722702,
0,159,0.30112072825431824,
0,169,0.2890385687351227,
0,179,0.28439849615097046,
0,189,0.2546840012073517,
0,199,0.30782607197761536,
0,209,0.30989596247673035,
0,219,0.23611705005168915,
0,229,0.3081483840942383,
0,239,0.275192528963089,
0,249,0.28706425428390503,
0,259,0.21055027842521667,
0,269,0.29521995782852173,
0,279,0.24335773289203644,
0,289,0.2561294436454773,
0,299,0.23412179946899414,
0,309,0.27270835638046265,
0,319,0.2531639337539673,
0,329,0.3072124123573303,
0,339,0.2523759603500366,
0,349,0.27647677063941956,
0,359,0.20593327283859253,
0,369,0.23141539096832275,
0,379,0.28718411922454834,
0,389,0.28541991114616394,
0,399,0.20616430044174194,
0,409,0.2612062096595764,
0,419,0.27564483880996704,
0,429,0.20102722942829132,
0,439,0.30123043060302734,
0,446,,0.2346014827489853
1,449,0.1997964233160019,
1,459,0.20457468926906586,
1,469,0.21562077105045319,
1,479,0.20070302486419678,
1,489,0.19635024666786194,
1,499,0.2505771517753601,
1,509,0.2617875933647156,
1,519,0.21145209670066833,
1,529,0.17339637875556946,
1,539,0.21175658702850342,
1,549,0.24400971829891205,
1,559,0.18798846006393433,
1,569,0.2351205050945282,
1,579,0.2174370437860489,
1,589,0.19347041845321655,
1,599,0.19312749803066254,
1,609,0.208110973238945,
1,619,0.21481682360172272,
1,629,0.18790960311889648,
1,639,0.199270099401474,
1,649,0.19869278371334076,
1,659,0.22458942234516144,
1,669,0.21887525916099548,
1,679,0.23000705242156982,
1,689,0.17172852158546448,
1,699,0.16273081302642822,
1,709,0.22996284067630768,
1,719,0.2320353090763092,
1,729,0.1864214837551117,
1,739,0.21770018339157104,
1,749,0.22938251495361328,
1,759,0.19288001954555511,
1,769,0.21911856532096863,
1,779,0.2332351952791214,
1,789,0.22136229276657104,
