userID,artistID,weight
1600,302,0.002931694910929211
1980,614,0.00013042356470284694
1590,349,0.0018089181365307898
2021,1032,0.0024667065498147132
173,441,0.0019648593551972373
230,321,0.0013184121214526916
1695,562,0.00024950594986631583
1053,229,0.0013467650703011366
1474,2711,0.0006492825286293901
1509,2080,0.0020527534966274168
839,707,0.000978176735271352
1856,2021,0.0015991063150522968
159,90,0.0025971301145175604
1254,1974,0.0006634590030536125
1281,3928,2.5517653963600482e-05
1419,1852,0.0006180942848961005
462,1643,0.001434659211731316
243,58,0.009166508362702261
391,2661,0.0012928944674890912
544,691,0.002112294689209151
1028,1700,0.0001559412186664474
512,1339,0.002041412317088039
1595,1369,0.0004876707201932537
471,157,0.00021831770613302634
133,1451,0.0004848354253084092
1647,461,0.004476930623169463
650,289,0.000802388452410993
103,190,9.923532096955743e-05
1471,328,0.00019280005216942587
209,333,0.0013127415316830026
2036,88,0.0003572471554904068
1331,1464,0.0019024828677306582
764,3289,0.00047632954065387567
1134,2783,2.835294884844498e-06
100,1375,0.0004621530662296532
500,1801,0.0001559412186664474
55,227,0.0013240827112223805
417,333,0.0007938825677564595
1835,441,0.00011624709027862442
882,157,0.0004082824634176077
215,2637,3.969412838782297e-05
1907,748,0.00044514129692058623
485,3364,0.00018996475728458138
1156,72,0.011871379682843913
859,1520,0.0002835294884844498
1111,2214,0.0213072410596064
759,429,0.0017210239951006103
358,1705,0.00028636478336929434
475,2524,0.0014204827373070935
1399,466,0.001332588595876914
1865,4800,0.004627201252066221
704,278,9.640002608471293e-05
1395,429,0.00034307068106618425
1787,854,0.003461895054395132
98,333,8.222355166049044e-05
1265,755,0.001485694519658517
1235,707,0.0008761061194169499
1595,863,0.0005188589639265432
795,310,0.0021293064585182183
1189,328,0.00027785889871476084
993,10612,0.00023532947544209335
865,2838,0.00011057650050893542
137,71,0.001485694519658517
306,1001,0.0003118824373328948
1575,562,0.0014289886219616271
1033,340,0.02938783148141322
1238,8837,0.0007485178495989475
781,302,0.00015310592378160292
196,226,0.003518600952092022
767,1019,0.0005018471946174761
356,464,0.007000343070681066
43,475,0.0004933413099629427
1663,2523,0.003683048055413003
778,318,0.008134461024618863
1942,2535,0.00925440250413244
1076,249,0.0002948706680238278
583,6453,0.0010944238255499762
1683,683,0.0019733652398517708
2066,488,0.00037992951456916277
1145,89,0.0009413179017683734
675,257,0.00135527095495567
2083,1704,3.4023538618133977e-05
1483,1672,0.00299407139839579
1506,8656,0.0008619296449927274
1005,1941,0.002412835947002668
68,1379,0.00015027062889675838
1191,1358,0.00025801183452084934
726,3501,0.00032038832198742827
503,972,0.00020981182147849288
1253,329,0.0021775064715605745
152,466,0.0025177418577419144
549,1091,0.0002977059629086723
1974,1406,0.0005557177974295217
1678,371,0.00020697652659364834
1020,1182,0.0008392472859139714
943,1106,7.655296189080145e-05
882,7160,0.0003033765526783613
1390,5414,0.0003487412708358733
96,2183,2.835294884844498e-05
96,2556,5.387060281204546e-05
440,2672,0.00322089498918335
1898,289,0.0034165303362376203
525,687,0.0015934357252826079
